ID	Sex	BY
b01188	2	2
a01189	1	2
a01190	1	2
b01191	2	2
a01192	1	2
a02001	1	3
a02002	1	3
b02003	2	3
b02004	2	3
b02005	2	3
a02006	1	3
b02007	2	3
a02008	1	3
b02009	2	3
a02010	1	3
a02011	1	3
b02012	2	3
a02013	1	3
b02014	2	3
a02015	1	3
a02016	1	3
a02017	1	3
a02018	1	3
a02019	1	3
a02020	1	3
b02021	2	3
b02022	2	3
a02023	1	3
b02024	2	3
a02025	1	3
b02026	2	3
b02027	2	3
b02028	2	3
a02029	1	3
a02030	1	3
a02031	1	3
b02032	2	3
b02033	2	3
b02034	2	3
a02035	1	3
b02036	2	3
b02037	2	3
a02038	1	3
b02039	2	3
a02040	1	3
a02041	1	3
b02042	2	3
b02043	2	3
a02044	1	3
b02045	2	3
a02046	1	3
a02047	1	3
b02048	2	3
a02049	1	3
b02050	2	3
a02051	1	3
a02052	1	3
a02053	1	3
b02054	2	3
b02055	2	3
a02056	1	3
a02057	1	3
a02058	1	3
b02059	2	3
b02060	2	3
b02061	2	3
a02062	1	3
a02063	1	3
b02064	2	3
a02065	1	3
b02066	2	3
b02067	2	3
a02068	1	3
a02069	1	3
b02070	2	3
b02071	2	3
b02072	2	3
a02073	1	3
b02074	2	3
a02075	1	3
a02076	1	3
b02077	2	3
a02078	1	3
a02079	1	3
b02080	2	3
b02081	2	3
a02082	1	3
b02083	2	3
a02084	1	3
b02085	2	3
a02086	1	3
b02087	2	3
b02088	2	3
b02089	2	3
a02090	1	3
b02091	2	3
b02092	2	3
a02093	1	3
a02094	1	3
b02095	2	3
a02096	1	3
a02097	1	3
b02098	2	3
a02099	1	3
a02100	1	3
a02101	1	3
a02102	1	3
b02103	2	3
a02104	1	3
a02105	1	3
a02106	1	3
a02107	1	3
a02108	1	3
a02109	1	3
a02110	1	3
a02111	1	3
a02112	1	3
a02113	1	3
a02114	1	3
b02115	2	3
a02116	1	3
a02117	1	3
a02118	1	3
a02119	1	3
a02120	1	3
a02121	1	3
a02122	1	3
a02123	1	3
a02124	1	3
b02125	2	3
a02126	1	3
b02127	2	3
b02128	2	3
b02129	2	3
b02130	2	3
a02131	1	3
a02132	1	3
a02133	1	3
b02134	2	3
b02135	2	3
a02136	1	3
a02137	1	3
b02138	2	3
a02139	1	3
a02140	1	3
a02141	1	3
b02142	2	3
b02143	2	3
b02144	2	3
a02145	1	3
a02146	1	3
b02147	2	3
b02148	2	3
b02149	2	3
b02150	2	3
b02151	2	3
b02152	2	3
b02153	2	3
a02154	1	3
b02155	2	3
a02156	1	3
b02157	2	3
b02158	2	3
b02159	2	3
a02160	1	3
b02161	2	3
b02162	2	3
a02163	1	3
a02164	1	3
b02165	2	3
a02166	1	3
b02167	2	3
b02168	2	3
a02169	1	3
b02170	2	3
a02171	1	3
b02172	2	3
a02173	1	3
b02174	2	3
a02175	1	3
a02176	1	3
a02177	1	3
a02178	1	3
b02179	2	3
b02180	2	3
b02181	2	3
b02182	2	3
b02183	2	3
b02184	2	3
a02185	1	3
b02186	2	3
b02187	2	3
b02188	2	3
a02189	1	3
a02190	1	3
b02191	2	3
a02192	1	3
a03001	1	4
b03002	2	4
a03003	1	4
b03004	2	4
b03005	2	4
a03006	1	4
a03007	1	4
a03008	1	4
b03009	2	4
a03010	1	4
b03011	2	4
b03012	2	4
b03013	2	4
b03014	2	4
a03015	1	4
a03016	1	4
b03017	2	4
b03018	2	4
b03019	2	4
b03020	2	4
b03021	2	4
b03022	2	4
b03023	2	4
b03024	2	4
b03025	2	4
a03026	1	4
a03027	1	4
b03028	2	4
b03029	2	4
b03030	2	4
a03031	1	4
b03032	2	4
b03033	2	4
a03034	1	4
b03035	2	4
a03036	1	4
b03037	2	4
b03038	2	4
b03039	2	4
b03040	2	4
b03041	2	4
a03042	1	4
b03043	2	4
b03044	2	4
a03045	1	4
b03046	2	4
b03047	2	4
b03048	2	4
a03049	1	4
b03050	2	4
a03051	1	4
a03052	1	4
b03053	2	4
b03054	2	4
a03055	1	4
b03056	2	4
b03057	2	4
a03058	1	4
a03059	1	4
a03060	1	4
a03061	1	4
b03062	2	4
a03063	1	4
a03064	1	4
a03065	1	4
b03066	2	4
b03067	2	4
b03068	2	4
b03069	2	4
a03070	1	4
a03071	1	4
a03072	1	4
a03073	1	4
a03074	1	4
b03075	2	4
b03076	2	4
b03077	2	4
a03078	1	4
b03079	2	4
a03080	1	4
b03081	2	4
a03082	1	4
a03083	1	4
a03084	1	4
b03085	2	4
b03086	2	4
a03087	1	4
a03088	1	4
a03089	1	4
b03090	2	4
a03091	1	4
b03092	2	4
b03093	2	4
b03094	2	4
b03095	2	4
b03096	2	4
b03097	2	4
a03098	1	4
a03099	1	4
a03100	1	4
b03101	2	4
a03102	1	4
a03103	1	4
b03104	2	4
a03105	1	4
a03106	1	4
a03107	1	4
a03108	1	4
b03109	2	4
b03110	2	4
a03111	1	4
a03112	1	4
a03113	1	4
b03114	2	4
b03115	2	4
a03116	1	4
b03117	2	4
b03118	2	4
b03119	2	4
b03120	2	4
a03121	1	4
a03122	1	4
b03123	2	4
a03124	1	4
b03125	2	4
a03126	1	4
b03127	2	4
a03128	1	4
b03129	2	4
b03130	2	4
b03131	2	4
a03132	1	4
a03133	1	4
b03134	2	4
b03135	2	4
b03136	2	4
b03137	2	4
b03138	2	4
b03139	2	4
a03140	1	4
a03141	1	4
b03142	2	4
a03143	1	4
a03144	1	4
b03145	2	4
b03146	2	4
a03147	1	4
a03148	1	4
b03149	2	4
b03150	2	4
b03151	2	4
a03152	1	4
b03153	2	4
a03154	1	4
b03155	2	4
b03156	2	4
a03157	1	4
a03158	1	4
a03159	1	4
b03160	2	4
b03161	2	4
a03162	1	4
b03163	2	4
b03164	2	4
a03165	1	4
b03166	2	4
a03167	1	4
a03168	1	4
b03169	2	4
a03170	1	4
a03171	1	4
b03172	2	4
a03173	1	4
b03174	2	4
a03175	1	4
b03176	2	4
a03177	1	4
b03178	2	4
b03179	2	4
b03180	2	4
b03181	2	4
b03182	2	4
b03183	2	4
a03184	1	4
a03185	1	4
b03186	2	4
a03187	1	4
b03188	2	4
a03189	1	4
a03190	1	4
a03191	1	4
b03192	2	4
a04001	1	5
b04002	2	5
a04003	1	5
a04004	1	5
a04005	1	5
a04006	1	5
b04007	2	5
a04008	1	5
a04009	1	5
a04010	1	5
a04011	1	5
a04012	1	5
a04013	1	5
b04014	2	5
b04015	2	5
b04016	2	5
a04017	1	5
b04018	2	5
a04019	1	5
a04020	1	5
a04021	1	5
a04022	1	5
b04023	2	5
b04024	2	5
a04025	1	5
b04026	2	5
b04027	2	5
a04028	1	5
a04029	1	5
b04030	2	5
b04031	2	5
a04032	1	5
a04033	1	5
a04034	1	5
a04035	1	5
a04036	1	5
a04037	1	5
a04038	1	5
a04039	1	5
b04040	2	5
a04041	1	5
b04042	2	5
b04043	2	5
b04044	2	5
a04045	1	5
a04046	1	5
b04047	2	5
b04048	2	5
b04049	2	5
b04050	2	5
b04051	2	5
a04052	1	5
a04053	1	5
b04054	2	5
b04055	2	5
b04056	2	5
b04057	2	5
a04058	1	5
a04059	1	5
a04060	1	5
a04061	1	5
b04062	2	5
a04063	1	5
a04064	1	5
a04065	1	5
a04066	1	5
a04067	1	5
a04068	1	5
a04069	1	5
a04070	1	5
b04071	2	5
b04072	2	5
b04073	2	5
a04074	1	5
a04075	1	5
a04076	1	5
a04077	1	5
a04078	1	5
b04079	2	5
b04080	2	5
b04081	2	5
a04082	1	5
b04083	2	5
b04084	2	5
b04085	2	5
a04086	1	5
b04087	2	5
a04088	1	5
b04089	2	5
a04090	1	5
a04091	1	5
b04092	2	5
a04093	1	5
b04094	2	5
b04095	2	5
a04096	1	5
b04097	2	5
b04098	2	5
a04099	1	5
a04100	1	5
a04101	1	5
a04102	1	5
b04103	2	5
b04104	2	5
a04105	1	5
b04106	2	5
b04107	2	5
b04108	2	5
b04109	2	5
a04110	1	5
a04111	1	5
a04112	1	5
b04113	2	5
a04114	1	5
b04115	2	5
a04116	1	5
b04117	2	5
b04118	2	5
a04119	1	5
a04120	1	5
a04121	1	5
a04122	1	5
b04123	2	5
b04124	2	5
b04125	2	5
a04126	1	5
a04127	1	5
a04128	1	5
a04129	1	5
b04130	2	5
b04131	2	5
b04132	2	5
b04133	2	5
b04134	2	5
b04135	2	5
b04136	2	5
a04137	1	5
b04138	2	5
b04139	2	5
a04140	1	5
a04141	1	5
a04142	1	5
b04143	2	5
a04144	1	5
a04145	1	5
a04146	1	5
a04147	1	5
a04148	1	5
b04149	2	5
a04150	1	5
b04151	2	5
b04152	2	5
b04153	2	5
a04154	1	5
b04155	2	5
a04156	1	5
a04157	1	5
b04158	2	5
a04159	1	5
a04160	1	5
b04161	2	5
a04162	1	5
a04163	1	5
b04164	2	5
b04165	2	5
b04166	2	5
a04167	1	5
b04168	2	5
b04169	2	5
a04170	1	5
a04171	1	5
b04172	2	5
b04173	2	5
a04174	1	5
a04175	1	5
b04176	2	5
b04177	2	5
b04178	2	5
b04179	2	5
a04180	1	5
b04181	2	5
b04182	2	5
b04183	2	5
b04184	2	5
a04185	1	5
b04186	2	5
a04187	1	5
b04188	2	5
b04189	2	5
a04190	1	5
b04191	2	5
b04192	2	5
a05001	1	6
a05002	1	6
b05003	2	6
b05004	2	6
a05005	1	6
a05006	1	6
b05007	2	6
b05008	2	6
a05009	1	6
a05010	1	6
b05011	2	6
a05012	1	6
b05013	2	6
b05014	2	6
b05015	2	6
a05016	1	6
a05017	1	6
b05018	2	6
b05019	2	6
b05020	2	6
b05021	2	6
a05022	1	6
b05023	2	6
b05024	2	6
b05025	2	6
a05026	1	6
a05027	1	6
a05028	1	6
b05029	2	6
b05030	2	6
a05031	1	6
a05032	1	6
b05033	2	6
a05034	1	6
a05035	1	6
a05036	1	6
b05037	2	6
b05038	2	6
a05039	1	6
b05040	2	6
a05041	1	6
a05042	1	6
a05043	1	6
b05044	2	6
b05045	2	6
a05046	1	6
b05047	2	6
a05048	1	6
a05049	1	6
b05050	2	6
a05051	1	6
a05052	1	6
b05053	2	6
a05054	1	6
a05055	1	6
b05056	2	6
b05057	2	6
a05058	1	6
b05059	2	6
a05060	1	6
a05061	1	6
a05062	1	6
a05063	1	6
a05064	1	6
b05065	2	6
b05066	2	6
a05067	1	6
a05068	1	6
a05069	1	6
a05070	1	6
a05071	1	6
a05072	1	6
b05073	2	6
a05074	1	6
a05075	1	6
a05076	1	6
b05077	2	6
a05078	1	6
b05079	2	6
b05080	2	6
b05081	2	6
a05082	1	6
b05083	2	6
a05084	1	6
a05085	1	6
b05086	2	6
b05087	2	6
b05088	2	6
a05089	1	6
a05090	1	6
a05091	1	6
b05092	2	6
a05093	1	6
a05094	1	6
a05095	1	6
a05096	1	6
b05097	2	6
a05098	1	6
b05099	2	6
b05100	2	6
b05101	2	6
a05102	1	6
a05103	1	6
b05104	2	6
a05105	1	6
a05106	1	6
a05107	1	6
b05108	2	6
a05109	1	6
a05110	1	6
b05111	2	6
a05112	1	6
a05113	1	6
a05114	1	6
a05115	1	6
b05116	2	6
b05117	2	6
a05118	1	6
a05119	1	6
a05120	1	6
a05121	1	6
b05122	2	6
b05123	2	6
a05124	1	6
b05125	2	6
b05126	2	6
b05127	2	6
a05128	1	6
a05129	1	6
a05130	1	6
b05131	2	6
b05132	2	6
a05133	1	6
b05134	2	6
b05135	2	6
a05136	1	6
b05137	2	6
a05138	1	6
a05139	1	6
b05140	2	6
a05141	1	6
b05142	2	6
b05143	2	6
a05144	1	6
a05145	1	6
b05146	2	6
a05147	1	6
b05148	2	6
b05149	2	6
a05150	1	6
a05151	1	6
b05152	2	6
a05153	1	6
b05154	2	6
b05155	2	6
a05156	1	6
a05157	1	6
a05158	1	6
a05159	1	6
a05160	1	6
b05161	2	6
a05162	1	6
a05163	1	6
b05164	2	6
b05165	2	6
a05166	1	6
a05167	1	6
a05168	1	6
b05169	2	6
b05170	2	6
b05171	2	6
a05172	1	6
b05173	2	6
a05174	1	6
b05175	2	6
a05176	1	6
b05177	2	6
b05178	2	6
a05179	1	6
b05180	2	6
b05181	2	6
a05182	1	6
a05183	1	6
a05184	1	6
a05185	1	6
b05186	2	6
b05187	2	6
a05188	1	6
a05189	1	6
b05190	2	6
b05191	2	6
b05192	2	6
